C29,CHIP ENG SENG CORPORATION LTD
C10,CHOSEN HOLDINGS LIMITED
C33,CHUAN HUP HOLDINGS LIMITED
QS0,CIMB FT ASEAN 40 100 S$
M62,CIMB FTSE ASEAN40 100
QR9,CIMB S&P ASIA PAC DIVIDEND S$
P5P,CIMB S&P ASIA PACIFIC DIVIDEND
C09,CITY DEVELOPMENTS LIMITED
C70,CITY DEVELOPMENTS LTD NCCPS
5HJ,CITYNEON HOLDINGS LIMITED
A7RU,CITYSPRING INFRASTRUCT TRUST
P9D,CIVMEC LIMITED
5GC,CNA GROUP LTD.
5TP,CNMC GOLDMINE HOLDINGS LIMITED
KJ9,COGENT HOLDINGS LIMITED
567,COLEX HOLDINGS LIMITED
C52,COMFORTDELGRO CORPORATION LTD
5HT,COMMUNICATION DESIGN INTL LTD
L1D,CONSCIENCEFOOD HOLDING LIMITED
OJ4,CONTEL CORPORATION LIMITED
P8A,CORDLIFE GROUP LIMITED
C41,CORTINA HOLDINGS LIMITED
F83,COSCO CORPORATION (S) LTD
B9S,COSMOSTEEL HOLDINGS LIMITED
E91,COURAGE MARINE GROUP LIMITED
RE2,COURTS ASIA LIMITED
539,CPH LTD
541,CRAFT PRINT INTERNATIONAL LTD
C76,CREATIVE TECHNOLOGY LTD
S6NU,CROESUS RETAIL TRUST
C06,CSC HOLDINGS LTD
544,CSE GLOBAL LTD
C14,CWT LIMITED
D01,DAIRY FARM INT'L HOLDINGS LTD
FP1,DAPAI INTL HLDG CO. LTD.
5CB,DARCO WATER TECHNOLOGIES LTD
D05,DBS GROUP HOLDINGS LTD
MU7,DBS S$800M 4.7% NCPS
K2M,DEBAO PROPERTY DEVELOPMENT LTD
5UZ,DECLOUT LIMITED
B1N,DELONG HOLDINGS LIMITED
D11,DESIGN STUDIO FURNITURE MFRLTD
D08,DEVOTION ENERGY GROUP LIMITED
G77,DIGILAND INTERNATIONAL LTD
5CH,DMX TECHNOLOGIES GROUP LTD
MT1,DRAGON GROUP INTL LIMITED
GJ8,DUKANG DISTILLERS HLDGS LTD
CZ4,DUTECH HOLDINGS LIMITED
5SO,DUTY FREE INTERNATIONALLIMITED
NO4,DYNA-MAC HOLDINGS LTD.
D6U,DYNAMIC COLOURS LIMITED
5KU,EASTERN HOLDINGS LTD
N0L,EASTGATE TECHNOLOGY LTD
5CT,ECOWISE HOLDINGS LIMITED
E18,ECS HOLDINGS LIMITED
E16,ELEC & ELTEK INT CO LTD
5KX,ELEKTROMOTIVE GROUP LIMITED
550,ELITE KSB HOLDINGS LIMITED
E13,ELLIPSIZ LTD
5DE,EMS ENERGY LIMITED
S44,ENGRO CORPORATION LIMITED
L23,ENVIRO-HUB HOLDINGS LTD
5MQ,EPICENTRE HOLDINGS LIMITED
FO8,ERATAT LIFESTYLE LIMITED
5RC,ES GROUP (HOLDINGS) LIMITED
5FR,ETIKA INTERNATIONAL HLDGS LTD
E02,EU YAN SANG INTERNATIONAL LTD
E27,EUCON HOLDING LIMITED
5VT,EUNETWORKS GROUP LIMITED
E23,EUROPTRONIC GROUP LTD
E17,EXCELPOINT TECHNOLOGY LTD
5ME,EZION HOLDINGS LIMITED
5DN,EZRA HOLDINGS LIMITED
F10,F J BENJAMIN HOLDINGS LTD
NU6Z,F&N TREASURY S$220M2.48%160328
NU7Z,F&N TREASURY S$80M3.15%180328
I54,FABCHEM CHINA LIMITED
5FL,FALCON ENERGY GROUP LIMITED
5TJ,FAR EAST GROUP LIMITED
Q5T,FAR EAST HOSPITALITY TRUST
O10,FAR EAST ORCHARD LIMITED
F07,FDS NETWORKS GROUP LTD
F20,FEDERAL INT(2000) LTD
F12,FIBRECHEM TECHNOLOGIES LIMITED
DK2,FIBRECHEM TECHNOLOGIES NCPS
AW9U,FIRST REAL ESTATE INV TRUST
EB5,FIRST RESOURCES LIMITED
D8DU,FIRST SHIP LEASE TRUST
F22,FISCHER TECH LTD
F03,FOOD EMPIRE HOLDINGS LIMITED
529,FOOD JUNCTION HOLDINGS LIMITED
B0I,FORELAND FABRICTECH HLDS LTD
LG2U,FORTERRA TRUST
F25U,FORTUNE REAL ESTATE INV TRUST
F31,FRAGRANCE GROUP LIMITED
F99,FRASER AND NEAVE, LIMITED
J69U,FRASERS CENTREPOINT TRUST
ND8U,FRASERS COMMERCIAL TRUST
KT8U,FRASERS COMMERCIAL TRUST CPPU
F01,FREIGHT LINKS EXPRESS HOLDINGS
E28,FRENCKEN GROUP LIMITED
F13,FU YU CORPORATION LTD
F18,FULL APEX (HOLDINGS) LIMITED
F11,FUNG CHOI MEDIA GROUP LIMITED
DC9,FUXING CHINA GROUP LIMITED
G41,G. K. GOH HOLDINGS LIMITED
5IG,GALLANT VENTURE LTD.
RF7,GAYLIN HOLDINGS LIMITED
5VP,GDS GLOBAL LIMITED
S21,GENTING HONG KONG LIMITED
P9GZ,GENTING SPS$500M5.125% PERPSEC
RE4,GEO ENERGY RESOURCES LIMITED
595,GKE CORPORATION LIMITED
QS9,GLOBAL INVACOM GROUP LIMITED
B73,GLOBAL INVESTMENTS LIMITED
MC0,GLOBAL LOGISTIC PROP LIMITED
K6J,GLOBAL PALM RESOURCES HLGS LTD
P9J,GLOBAL PREMIUM HOTELS LIMITED
G31,GLOBAL TESTING CORPORATION LTD
Y07,GLOBAL YELLOW PAGES LIMITED
